"Vital Statistics
Frequency of Baby Names
From:  Jan 1, 1980  To:  Dec 31, 2021",,,,
Ranking by Gender & Year,First Name,Frequency,Gender,Year
296,Desmond,7,Boy,1980
296,Dwight,7,Boy,1980
296,Gilbert,7,Boy,1980
296,Glenn,7,Boy,1980
296,Jack,7,Boy,1980
296,Jan,7,Boy,1980
296,Jarrett,7,Boy,1980
296,Jon,7,Boy,1980
296,Julien,7,Boy,1980
296,Kris,7,Boy,1980
296,Kristofer,7,Boy,1980
296,Lloyd,7,Boy,1980
296,Mackenzie,7,Boy,1980
296,Malcolm,7,Boy,1980
296,Mario,7,Boy,1980
296,Michel,7,Boy,1980
296,Mohammad,7,Boy,1980
296,Regan,7,Boy,1980
296,Reuben,7,Boy,1980
296,Robbie,7,Boy,1980
296,Shannon,7,Boy,1980
296,Stacey,7,Boy,1980
296,Theodore,7,Boy,1980
296,Tyrone,7,Boy,1980
322,Adrien,6,Boy,1980
322,Alain,6,Boy,1980
322,Alim,6,Boy,1980
322,Alvin,6,Boy,1980
322,Angus,6,Boy,1980
322,Braden,6,Boy,1980
322,Carlos,6,Boy,1980
322,Chadwick,6,Boy,1980
322,Conor,6,Boy,1980
322,Darrin,6,Boy,1980
322,Donovan,6,Boy,1980
322,Eli,6,Boy,1980
322,Galen,6,Boy,1980
322,Gerard,6,Boy,1980
322,Gilles,6,Boy,1980
322,Gregg,6,Boy,1980
322,Jarred,6,Boy,1980
322,John-Paul,6,Boy,1980
322,Jonah,6,Boy,1980
322,Leon,6,Boy,1980
322,Loren,6,Boy,1980
322,Lyndon,6,Boy,1980
322,Marco,6,Boy,1980
322,Marvin,6,Boy,1980
322,Mitchel,6,Boy,1980
322,Nigel,6,Boy,1980
322,Noel,6,Boy,1980
322,Philippe,6,Boy,1980
322,Randolph,6,Boy,1980
322,Reid,6,Boy,1980
322,Ron,6,Boy,1980
322,Sidney,6,Boy,1980
322,Stewart,6,Boy,1980
322,Tommy,6,Boy,1980
322,Tylor,6,Boy,1980
322,Tyrel,6,Boy,1980
322,Vance,6,Boy,1980
359,Ahmed,5,Boy,1980
359,Austin,5,Boy,1980
359,Boyd,5,Boy,1980
359,Brant,5,Boy,1980
359,Cheyenne,5,Boy,1980
359,Clark,5,Boy,1980
359,Codey,5,Boy,1980
359,Cole,5,Boy,1980
359,Damon,5,Boy,1980
359,Dominic,5,Boy,1980
359,Elliott,5,Boy,1980
359,Ernest,5,Boy,1980
359,Giuseppe,5,Boy,1980
359,Harold,5,Boy,1980
359,Harvey,5,Boy,1980
359,Herman,5,Boy,1980
359,Imran,5,Boy,1980
359,Jade,5,Boy,1980
359,Jaret,5,Boy,1980
359,Jasen,5,Boy,1980
359,Jefferey,5,Boy,1980
359,Johnathon,5,Boy,1980
359,Jonas,5,Boy,1980
359,Keegan,5,Boy,1980
359,Kendall,5,Boy,1980
359,Layne,5,Boy,1980
359,Leland,5,Boy,1980
359,Lindsay,5,Boy,1980
359,Lionel,5,Boy,1980
359,Luc,5,Boy,1980
359,Lukas,5,Boy,1980
359,Marshall,5,Boy,1980
359,Mason,5,Boy,1980
359,Mike,5,Boy,1980
359,Miles,5,Boy,1980
359,Monty,5,Boy,1980
359,Myles,5,Boy,1980
359,Nicolas,5,Boy,1980
359,Perry,5,Boy,1980
359,Quinton,5,Boy,1980
359,Randal,5,Boy,1980
359,Ray,5,Boy,1980
359,Rene,5,Boy,1980
359,Rhys,5,Boy,1980
359,Sonny,5,Boy,1980
359,Stacy,5,Boy,1980
359,Tobias,5,Boy,1980
359,Waylon,5,Boy,1980
407,Ahmad,4,Boy,1980
407,Alfred,4,Boy,1980
407,Amandeep,4,Boy,1980
407,Arif,4,Boy,1980
407,Arnold,4,Boy,1980
407,Brenden,4,Boy,1980
407,Callum,4,Boy,1980
407,Chance,4,Boy,1980
407,Clarence,4,Boy,1980
407,Darrel,4,Boy,1980
407,Dexter,4,Boy,1980
407,Dieter,4,Boy,1980
407,Dillon,4,Boy,1980
407,Donny,4,Boy,1980
407,Dorian,4,Boy,1980
407,Edgar,4,Boy,1980
407,Eldon,4,Boy,1980
407,Elias,4,Boy,1980
407,Ervin,4,Boy,1980
407,Everett,4,Boy,1980
407,Felix,4,Boy,1980
407,Francois,4,Boy,1980
407,Garnet,4,Boy,1980
407,Harpreet,4,Boy,1980
407,Harry,4,Boy,1980
407,Hassan,4,Boy,1980
407,Heath,4,Boy,1980
