"Vital Statistics
Frequency of Baby Names
From:  Jan 1, 1980  To:  Dec 31, 2021",,,,
Ranking by Gender & Year,First Name,Frequency,Gender,Year
1170,Christenna,1,Girl,1980
1170,Christiana,1,Girl,1980
1170,Christina-Lynn,1,Girl,1980
1170,Christina-Rose,1,Girl,1980
1170,Christine-Binna,1,Girl,1980
1170,Christopher,1,Girl,1980
1170,Chrstine,1,Girl,1980
1170,Chrysti,1,Girl,1980
1170,Chrystin,1,Girl,1980
1170,Chyanne,1,Girl,1980
1170,Chylynne,1,Girl,1980
1170,Ciara,1,Girl,1980
1170,Clarice,1,Girl,1980
1170,Claudine,1,Girl,1980
1170,Codi,1,Girl,1980
1170,Codie,1,Girl,1980
1170,Collet,1,Girl,1980
1170,Collette,1,Girl,1980
1170,Colombe,1,Girl,1980
1170,Conneil,1,Girl,1980
1170,Conner,1,Girl,1980
1170,Conni,1,Girl,1980
1170,Constence,1,Girl,1980
1170,Contessa,1,Girl,1980
1170,Coral,1,Girl,1980
1170,Cora-Lea,1,Girl,1980
1170,Cora-Leanne,1,Girl,1980
1170,Coralynn,1,Girl,1980
1170,Cora-Lynn,1,Girl,1980
1170,Corddel,1,Girl,1980
1170,Cordella,1,Girl,1980
1170,Corease,1,Girl,1980
1170,Corine,1,Girl,1980
1170,Corinn,1,Girl,1980
1170,Corinthe,1,Girl,1980
1170,Corley,1,Girl,1980
1170,Corlys,1,Girl,1980
1170,Cornelia,1,Girl,1980
1170,Correen,1,Girl,1980
1170,Correne,1,Girl,1980
1170,Corri-Anne,1,Girl,1980
1170,Corrin,1,Girl,1980
1170,Corrinne,1,Girl,1980
1170,Corryn,1,Girl,1980
1170,Corvette,1,Girl,1980
1170,Coryl,1,Girl,1980
1170,Creedance,1,Girl,1980
1170,Cressida,1,Girl,1980
1170,Cristal,1,Girl,1980
1170,Cristen,1,Girl,1980
1170,Cristie,1,Girl,1980
1170,Cristina-Maria,1,Girl,1980
1170,Cristine,1,Girl,1980
1170,Crystal-Gayle,1,Girl,1980
1170,Crystalian,1,Girl,1980
1170,Crystal-Lee,1,Girl,1980
1170,Crystal-Lynn,1,Girl,1980
1170,Crystie,1,Girl,1980
1170,Dacia,1,Girl,1980
1170,Daelynn,1,Girl,1980
1170,Dagnia,1,Girl,1980
1170,Dahlia,1,Girl,1980
1170,Daina,1,Girl,1980
1170,Daja,1,Girl,1980
1170,Dalale,1,Girl,1980
1170,Dalayna,1,Girl,1980
1170,Daleen,1,Girl,1980
1170,Daleene,1,Girl,1980
1170,Dalene,1,Girl,1980
1170,Daliana,1,Girl,1980
1170,Dalice,1,Girl,1980
1170,Dallal,1,Girl,1980
1170,Dallyce,1,Girl,1980
1170,Damara,1,Girl,1980
1170,Danae,1,Girl,1980
1170,Danee,1,Girl,1980
1170,Daneille,1,Girl,1980
1170,Daney,1,Girl,1980
1170,Dani,1,Girl,1980
1170,Dania,1,Girl,1980
1170,Daniel,1,Girl,1980
1170,Daniela,1,Girl,1980
1170,Daniele,1,Girl,1980
1170,Dani-Elle,1,Girl,1980
1170,D'Ann,1,Girl,1980
1170,Dannie,1,Girl,1980
1170,Dannielle,1,Girl,1980
1170,Danyelle,1,Girl,1980
1170,Daphney,1,Girl,1980
1170,Daquari,1,Girl,1980
1170,Daralee,1,Girl,1980
1170,Dara-Lee,1,Girl,1980
1170,Daralyn,1,Girl,1980
1170,Darana,1,Girl,1980
1170,Darcia,1,Girl,1980
1170,Darelle,1,Girl,1980
1170,Dareth,1,Girl,1980
1170,Darrellen,1,Girl,1980
1170,Darren,1,Girl,1980
1170,Daun,1,Girl,1980
1170,Daveena,1,Girl,1980
1170,Davina,1,Girl,1980
1170,Dawna,1,Girl,1980
1170,Dawn-A-Lee,1,Girl,1980
1170,Dawna-Rae,1,Girl,1980
1170,Deane,1,Girl,1980
1170,Deanna-Dawn,1,Girl,1980
1170,Deca,1,Girl,1980
1170,Deena,1,Girl,1980
1170,Deenele,1,Girl,1980
1170,Deenise,1,Girl,1980
1170,Deepak,1,Girl,1980
1170,Deepika,1,Girl,1980
1170,Deidra,1,Girl,1980
1170,Deidre,1,Girl,1980
1170,Dejean,1,Girl,1980
1170,Del,1,Girl,1980
1170,Dela,1,Girl,1980
1170,Delane,1,Girl,1980
1170,Delcie,1,Girl,1980
1170,Delena,1,Girl,1980
1170,Delilah,1,Girl,1980
1170,Della,1,Girl,1980
1170,Dellarie,1,Girl,1980
1170,Denaye,1,Girl,1980
1170,Deneve,1,Girl,1980
1170,Denia,1,Girl,1980
1170,Deniece,1,Girl,1980
1170,Denielle,1,Girl,1980
1170,Denika,1,Girl,1980
1170,Denisha,1,Girl,1980
1170,Dennise,1,Girl,1980
1170,Deon,1,Girl,1980
1170,Deonie,1,Girl,1980
1170,Deonne,1,Girl,1980
1170,Derian,1,Girl,1980
1170,Dermai,1,Girl,1980
1170,Derrique,1,Girl,1980
1170,Desirae,1,Girl,1980
1170,Desiray,1,Girl,1980
1170,Desirée,1,Girl,1980
1170,Desta,1,Girl,1980
1170,Destini,1,Girl,1980
1170,Destinne,1,Girl,1980
1170,Devika,1,Girl,1980
1170,Devin,1,Girl,1980
1170,Devynne,1,Girl,1980
1170,Dewi,1,Girl,1980
1170,Dezirah,1,Girl,1980
1170,Deziray,1,Girl,1980
1170,Dezlie,1,Girl,1980
1170,Dhana,1,Girl,1980
1170,Dheya,1,Girl,1980
1170,Diamond,1,Girl,1980
1170,Dianah,1,Girl,1980
1170,Dietta,1,Girl,1980
1170,Dilys,1,Girl,1980
1170,Dimitra,1,Girl,1980
1170,Dimple,1,Girl,1980
1170,Donalda,1,Girl,1980
1170,Donalyn,1,Girl,1980
1170,Donnella,1,Girl,1980
1170,Dorian,1,Girl,1980
1170,Dorianne,1,Girl,1980
1170,Dorilee,1,Girl,1980
1170,Dorinda,1,Girl,1980
1170,Dorota,1,Girl,1980
1170,Dorothy-Anne,1,Girl,1980
1170,Dorreen,1,Girl,1980
1170,Dorthy,1,Girl,1980
1170,Drennen,1,Girl,1980
1170,Dru,1,Girl,1980
1170,Dubrena,1,Girl,1980
1170,Duhgnee,1,Girl,1980
1170,Dyan,1,Girl,1980
1170,Dyravonekham,1,Girl,1980
1170,Eartha,1,Girl,1980
1170,Eavan,1,Girl,1980
1170,Echo-Lynne,1,Girl,1980
1170,Eden,1,Girl,1980
1170,Eden-Kiri,1,Girl,1980
1170,Eilis-Sarah,1,Girl,1980
1170,Eirlys,1,Girl,1980
1170,Elaina,1,Girl,1980
1170,Elan,1,Girl,1980
1170,Elantis,1,Girl,1980
1170,Elayna,1,Girl,1980
1170,Elenore,1,Girl,1980
1170,Elinor,1,Girl,1980
1170,Elisabeth-Hillegonda,1,Girl,1980
1170,Ellan,1,Girl,1980
1170,Ellie,1,Girl,1980
1170,Elliot,1,Girl,1980
1170,Ellisha,1,Girl,1980
1170,Ellyda,1,Girl,1980
1170,Elnora,1,Girl,1980
1170,Elsie,1,Girl,1980
1170,Elssa-Christina,1,Girl,1980
1170,Elvira,1,Girl,1980
1170,Elysse,1,Girl,1980
1170,Emaline,1,Girl,1980
1170,Emberley,1,Girl,1980
1170,Emeryll,1,Girl,1980
1170,Emi,1,Girl,1980
1170,Emiline,1,Girl,1980
1170,Emina,1,Girl,1980
1170,Emmanuelle,1,Girl,1980
1170,Emrys,1,Girl,1980
1170,Ena,1,Girl,1980
1170,Enza,1,Girl,1980
1170,Erin-Marie,1,Girl,1980
1170,Ernestine,1,Girl,1980
1170,Ernestine-Glays,1,Girl,1980
1170,Eron,1,Girl,1980
1170,Erynne,1,Girl,1980
1170,Esha,1,Girl,1980
1170,Evagelia,1,Girl,1980
1170,Evalee,1,Girl,1980
1170,Eve,1,Girl,1980
1170,Evelina,1,Girl,1980
1170,Evelynn,1,Girl,1980
1170,Evie,1,Girl,1980
1170,Fabiola,1,Girl,1980
1170,Fadwa,1,Girl,1980
1170,Faeza,1,Girl,1980
1170,Fahrin,1,Girl,1980
1170,Faiza,1,Girl,1980
1170,Faizal,1,Girl,1980
1170,Falone,1,Girl,1980
1170,Farhana,1,Girl,1980
1170,Farzana,1,Girl,1980
1170,Fatim,1,Girl,1980
1170,Faustina,1,Girl,1980
1170,Fawn,1,Girl,1980
1170,Fawna,1,Girl,1980
1170,Faye-Ann,1,Girl,1980
1170,Felesha,1,Girl,1980
1170,Ferial,1,Girl,1980
1170,Feriala,1,Girl,1980
1170,Fia-Lynn,1,Girl,1980
1170,Filomena,1,Girl,1980
1170,Fionna,1,Girl,1980
1170,Fortune,1,Girl,1980
1170,Fotiny-Faey,1,Girl,1980
1170,Francina,1,Girl,1980
1170,Freya,1,Girl,1980
1170,Funke,1,Girl,1980
1170,Gabriel,1,Girl,1980
1170,Gabriela,1,Girl,1980
1170,Gaby,1,Girl,1980
1170,Gaganreet,1,Girl,1980
1170,Gaia,1,Girl,1980
1170,Gaida,1,Girl,1980
1170,Gail-Anne,1,Girl,1980
1170,Garette,1,Girl,1980
1170,Garnet,1,Girl,1980
1170,Ga-Yang,1,Girl,1980
1170,Gayathri-Tanya,1,Girl,1980
1170,Geminy,1,Girl,1980
1170,Gemma,1,Girl,1980
1170,Geneil,1,Girl,1980
1170,Geniene,1,Girl,1980
1170,Gennyne,1,Girl,1980
1170,Georgette,1,Girl,1980
1170,Germain,1,Girl,1980
1170,Germaine,1,Girl,1980
1170,Gerry,1,Girl,1980
1170,Gessica,1,Girl,1980
1170,Gessica-Carmela,1,Girl,1980
1170,Gigetta,1,Girl,1980
1170,Gilaine,1,Girl,1980
1170,Giovannina,1,Girl,1980
1170,Gislaine,1,Girl,1980
1170,Giustina,1,Girl,1980
1170,Gladys,1,Girl,1980
1170,Glenn,1,Girl,1980
1170,Glenna-Lee,1,Girl,1980
1170,Glennis,1,Girl,1980
1170,Glori,1,Girl,1980
1170,Glynnis,1,Girl,1980
1170,Gordana,1,Girl,1980
1170,Grazia,1,Girl,1980
1170,Guinevere,1,Girl,1980
1170,Gurjit,1,Girl,1980
1170,Gurprit,1,Girl,1980
1170,Gwynneth,1,Girl,1980
1170,Ha,1,Girl,1980
1170,Hadil,1,Girl,1980
1170,Hadla,1,Girl,1980
1170,Hadria,1,Girl,1980
1170,Hajra,1,Girl,1980
1170,Hallie,1,Girl,1980
1170,Hana,1,Girl,1980
1170,Hanan,1,Girl,1980
1170,Hannaa,1,Girl,1980
1170,Hanni,1,Girl,1980
1170,Harlane,1,Girl,1980
1170,Harminder,1,Girl,1980
1170,Harmonie,1,Girl,1980
1170,Harpeet,1,Girl,1980
1170,Harpreet,1,Girl,1980
1170,Hasna,1,Girl,1980
1170,Hather,1,Girl,1980
1170,Havana,1,Girl,1980
1170,Haven,1,Girl,1980
1170,Havilah,1,Girl,1980
1170,Hayat,1,Girl,1980
1170,Haylee,1,Girl,1980
1170,Hayli,1,Girl,1980
1170,Hazuki,1,Girl,1980
1170,Hedaya,1,Girl,1980
1170,Heidy,1,Girl,1980
1170,Heike,1,Girl,1980
1170,Helaina,1,Girl,1980
1170,Helene,1,Girl,1980
1170,Helsby,1,Girl,1980
1170,Helwa,1,Girl,1980
1170,Hema,1,Girl,1980
1170,Hemma,1,Girl,1980
1170,Hendrikje,1,Girl,1980
1170,Henriette,1,Girl,1980
1170,Hessen,1,Girl,1980
1170,Hester,1,Girl,1980
1170,Heyam,1,Girl,1980
1170,Hiam,1,Girl,1980
1170,Hina,1,Girl,1980
1170,Hoan,1,Girl,1980
1170,Holley,1,Girl,1980
1170,Holli,1,Girl,1980
1170,Honesty,1,Girl,1980
1170,Honor,1,Girl,1980
1170,Hope,1,Girl,1980
1170,Houda,1,Girl,1980
1170,Huyen,1,Girl,1980
1170,Huynh,1,Girl,1980
1170,Iana,1,Girl,1980
1170,Ibrozer,1,Girl,1980
1170,Ikmil,1,Girl,1980
1170,Ila,1,Girl,1980
1170,Ilana,1,Girl,1980
1170,Ileaha,1,Girl,1980
1170,Ilia,1,Girl,1980
1170,Ilona,1,Girl,1980
1170,Ilonka,1,Girl,1980
1170,Ilze,1,Girl,1980
1170,Ina,1,Girl,1980
1170,Isabel,1,Girl,1980
1170,Isis,1,Girl,1980
1170,Isobel,1,Girl,1980
1170,Ivana,1,Girl,1980
1170,Ivanka,1,Girl,1980
1170,Ja,1,Girl,1980
1170,Jabeen,1,Girl,1980
1170,Jacey-Leigh,1,Girl,1980
1170,Jacine,1,Girl,1980
1170,Jacinta,1,Girl,1980
1170,Jacintha,1,Girl,1980
1170,Jacklyne,1,Girl,1980
1170,Jacklynn,1,Girl,1980
1170,Jackolyn,1,Girl,1980
1170,Jaclinn,1,Girl,1980
1170,Jaclyne,1,Girl,1980
1170,Jaclynn,1,Girl,1980
1170,Jacoba,1,Girl,1980
1170,Jacquelyne,1,Girl,1980
1170,Jacquie-Lynn,1,Girl,1980
1170,Jacy,1,Girl,1980
1170,Jacylyn,1,Girl,1980
1170,Jaeme,1,Girl,1980
1170,Jaemi,1,Girl,1980
1170,J'Aime,1,Girl,1980
1170,Jaime-Lyn,1,Girl,1980
1170,Jaimie-Anne,1,Girl,1980
1170,Jaimini,1,Girl,1980
1170,Jakki,1,Girl,1980
1170,Jaklyn,1,Girl,1980
1170,Jalayne,1,Girl,1980
1170,Jaleen,1,Girl,1980
1170,Jalene,1,Girl,1980
1170,Jamea,1,Girl,1980
1170,Jamealie,1,Girl,1980
1170,Jamey,1,Girl,1980
1170,Jamie-Dee,1,Girl,1980
1170,Jamiela,1,Girl,1980
1170,Jamie-Leigh,1,Girl,1980
1170,Jamila,1,Girl,1980
1170,Jami-Rae,1,Girl,1980
1170,Jammie,1,Girl,1980
1170,Jammie-Lee,1,Girl,1980
1170,Jana-Dee,1,Girl,1980
1170,Janan,1,Girl,1980
1170,Janat,1,Girl,1980
1170,Janeane,1,Girl,1980
1170,Janene,1,Girl,1980
1170,Janise,1,Girl,1980
1170,Janneke,1,Girl,1980
1170,Jannet,1,Girl,1980
1170,January,1,Girl,1980
1170,Jaqueline,1,Girl,1980
1170,Jaquelle,1,Girl,1980
1170,Jarita,1,Girl,1980
1170,Jasinta,1,Girl,1980
1170,Jasjeet,1,Girl,1980
1170,Jaskaren,1,Girl,1980
1170,Jasmeet,1,Girl,1980
1170,Jasskara,1,Girl,1980
1170,Jauqueline,1,Girl,1980
1170,Jaya,1,Girl,1980
1170,Jayda,1,Girl,1980
1170,Jay-Dean,1,Girl,1980
1170,Jaylee,1,Girl,1980
1170,Jaylyn,1,Girl,1980
1170,Jaymie,1,Girl,1980
1170,Jayna,1,Girl,1980
1170,Jaysey,1,Girl,1980
1170,Jeana,1,Girl,1980
1170,Jeanett,1,Girl,1980
1170,Jeanie-Lyn,1,Girl,1980
1170,Jeaninne,1,Girl,1980
1170,Jeanne,1,Girl,1980
1170,Jeannelle,1,Girl,1980
1170,Jedeha,1,Girl,1980
1170,Jehan,1,Girl,1980
1170,Jelara,1,Girl,1980
1170,Jelena,1,Girl,1980
1170,Jemaica,1,Girl,1980
1170,Jemima,1,Girl,1980
1170,Jemmie,1,Girl,1980
1170,Jenell,1,Girl,1980
1170,Jenelle,1,Girl,1980
1170,Jenene,1,Girl,1980
1170,Jeni,1,Girl,1980
1170,Jeniah,1,Girl,1980
1170,Jeni-Lyn,1,Girl,1980
1170,Jeninne,1,Girl,1980
1170,Jenipher,1,Girl,1980
1170,Jenna-Lee,1,Girl,1980
1170,Jennaye,1,Girl,1980
1170,Jennefer,1,Girl,1980
1170,Jennell,1,Girl,1980
1170,Jenni,1,Girl,1980
1170,Jennica,1,Girl,1980
1170,Jenniene,1,Girl,1980
1170,Jennifer-Dawn,1,Girl,1980
1170,Jennifer-Fatima-Salam,1,Girl,1980
1170,Jennine,1,Girl,1980
1170,Jennis,1,Girl,1980
1170,Jenny-Rae,1,Girl,1980
1170,Jeri,1,Girl,1980
1170,Jerusha,1,Girl,1980
1170,Jese,1,Girl,1980
1170,Jessa,1,Girl,1980
1170,Jessa-Lynn,1,Girl,1980
1170,Jessame,1,Girl,1980
1170,Jessamyne,1,Girl,1980
1170,Jessey,1,Girl,1980
1170,Jessic,1,Girl,1980
1170,Jessica-Lee,1,Girl,1980
1170,Jessica-Oliveira,1,Girl,1980
1170,Jessilyn,1,Girl,1980
1170,Jessy,1,Girl,1980
1170,Jeyna,1,Girl,1980
1170,Jeysoca,1,Girl,1980
1170,Jezebel,1,Girl,1980
1170,Jhaunie,1,Girl,1980
1170,Jilane,1,Girl,1980
1170,Jilian,1,Girl,1980
1170,Jillean,1,Girl,1980
1170,Jilliann,1,Girl,1980
1170,Jin,1,Girl,1980
1170,Jitinder,1,Girl,1980
1170,Jo,1,Girl,1980
1170,Joan-Karen,1,Girl,1980
1170,Joann,1,Girl,1980
1170,Jo-Ann,1,Girl,1980
1170,Joanna-Lyn,1,Girl,1980
1170,Jo-Anne,1,Girl,1980
1170,Joannie,1,Girl,1980
1170,Joanny,1,Girl,1980
1170,Jocelyn-Michelle,1,Girl,1980
1170,Jocelynn,1,Girl,1980
1170,Jocinda,1,Girl,1980
1170,Jodi-Anne,1,Girl,1980
1170,Jodi-Rae,1,Girl,1980
1170,Jody-Lee,1,Girl,1980
1170,Jody-Lynn,1,Girl,1980
1170,Joe-Anne,1,Girl,1980
1170,Joeleen,1,Girl,1980
1170,Joey,1,Girl,1980
1170,Johanne,1,Girl,1980
1170,Jola,1,Girl,1980
1170,Jolaine,1,Girl,1980
1170,Jolanda,1,Girl,1980
1170,Joleah,1,Girl,1980
1170,Joleena,1,Girl,1980
1170,Jolena,1,Girl,1980
1170,Jo-Lene,1,Girl,1980
1170,Jolyne,1,Girl,1980
1170,Jolynn,1,Girl,1980
1170,Jo-Lynn,1,Girl,1980
1170,Joni-Lyn,1,Girl,1980
1170,Jonnelle,1,Girl,1980
1170,Jordanna,1,Girl,1980
1170,Jordyn,1,Girl,1980
1170,Joren,1,Girl,1980
1170,Jorgianne,1,Girl,1980
1170,Josian,1,Girl,1980
1170,Josie-Lea,1,Girl,1980
1170,Joslin,1,Girl,1980
1170,Joslyn,1,Girl,1980
1170,Josselin,1,Girl,1980
1170,Jovina,1,Girl,1980
1170,Jovita,1,Girl,1980
1170,Joyee,1,Girl,1980
1170,Joyeuse,1,Girl,1980
1170,Juana,1,Girl,1980
1170,Juanita,1,Girl,1980
1170,Jubilee,1,Girl,1980
1170,Judy-Lyn,1,Girl,1980
1170,Juelle,1,Girl,1980
1170,Julia-Anna,1,Girl,1980
1170,Juliane,1,Girl,1980
1170,Julie-Anne,1,Girl,1980
1170,Julienne,1,Girl,1980
1170,Julie-Rae,1,Girl,1980
1170,Juliette,1,Girl,1980
1170,Jumanah,1,Girl,1980
1170,Junesse,1,Girl,1980
1170,Justene,1,Girl,1980
1170,Jylian,1,Girl,1980
1170,Jyme,1,Girl,1980
1170,Ka,1,Girl,1980
1170,Kaari,1,Girl,1980
1170,Kacey,1,Girl,1980
1170,Kachina,1,Girl,1980
1170,Kacy,1,Girl,1980
1170,Kael,1,Girl,1980
1170,Kaelie,1,Girl,1980
1170,Kahra,1,Girl,1980
1170,Kai,1,Girl,1980
1170,Kaia,1,Girl,1980
1170,Kaila,1,Girl,1980
1170,Kaila-Lea,1,Girl,1980
1170,Kailash,1,Girl,1980
1170,Kailin,1,Girl,1980
1170,Kailyn,1,Girl,1980
1170,Kala,1,Girl,1980
1170,Kalenda,1,Girl,1980
1170,Kalina,1,Girl,1980
1170,Kalya,1,Girl,1980
1170,Kalynn,1,Girl,1980
1170,Kam,1,Girl,1980
1170,Kamaljit,1,Girl,1980
1170,Kamber,1,Girl,1980
1170,Kamea,1,Girl,1980
1170,Kamila,1,Girl,1980
1170,Kamilah,1,Girl,1980
1170,Kamini,1,Girl,1980
1170,Kandace,1,Girl,1980
1170,Kandess,1,Girl,1980
1170,Kandi,1,Girl,1980
1170,Kandiece,1,Girl,1980
1170,Kanika,1,Girl,1980
1170,Kansie,1,Girl,1980
1170,Karalee,1,Girl,1980
1170,Karaleigh,1,Girl,1980
1170,Kara-Lynn,1,Girl,1980
1170,Kareene,1,Girl,1980
1170,Karen-Anne,1,Girl,1980
1170,Karey,1,Girl,1980
1170,Kari-Lynne,1,Girl,1980
1170,Karima,1,Girl,1980
1170,Karimah,1,Girl,1980
1170,Karisa,1,Girl,1980
1170,Karlee,1,Girl,1980
1170,Karlee-Anne,1,Girl,1980
1170,Karlene,1,Girl,1980
1170,Kar-Li,1,Girl,1980
1170,Karlin,1,Girl,1980
1170,Karly,1,Girl,1980
1170,Karman,1,Girl,1980
1170,Karmela,1,Girl,1980
1170,Karmyn,1,Girl,1980
1170,Karol,1,Girl,1980
1170,Karri,1,Girl,1980
1170,Karry,1,Girl,1980
1170,Kasha,1,Girl,1980
1170,Kassandra,1,Girl,1980
1170,Kassi,1,Girl,1980
1170,Katelin,1,Girl,1980
1170,Katelyn,1,Girl,1980
1170,Kateri,1,Girl,1980
1170,Katharyn,1,Girl,1980
1170,Katherin,1,Girl,1980
1170,Kathie,1,Girl,1980
1170,Kathlene,1,Girl,1980
1170,Katica,1,Girl,1980
1170,Katrin,1,Girl,1980
1170,Katy,1,Girl,1980
1170,Katya,1,Girl,1980
1170,Kay,1,Girl,1980
1170,Kayla,1,Girl,1980
1170,Kaylan,1,Girl,1980
1170,Kayla-Rose,1,Girl,1980
1170,Kayleen,1,Girl,1980
1170,Kayley,1,Girl,1980
1170,Kayna,1,Girl,1980
1170,Keann,1,Girl,1980
1170,Kelda,1,Girl,1980
1170,Kellee,1,Girl,1980
1170,Kelly-Ann,1,Girl,1980
1170,Kelsy,1,Girl,1980
1170,Keltie,1,Girl,1980
1170,Kendahl,1,Girl,1980
1170,Kendra-Lee,1,Girl,1980
1170,Kendy,1,Girl,1980
1170,Kenza,1,Girl,1980
1170,Keri-Anne,1,Girl,1980
1170,Keri-Lyn,1,Girl,1980
1170,Kerri-Beth,1,Girl,1980
1170,Kerrie-Lynn,1,Girl,1980
1170,Kerry-Lee,1,Girl,1980
1170,Kerylynna,1,Girl,1980
1170,Keyvan,1,Girl,1980
1170,Khadigah,1,Girl,1980
1170,Khanh,1,Girl,1980
1170,Kheagan,1,Girl,1980
1170,Khloe,1,Girl,1980
1170,Khoula,1,Girl,1980
1170,Khrista,1,Girl,1980
1170,Kia,1,Girl,1980
1170,Kiera,1,Girl,1980
1170,Kierstin,1,Girl,1980
1170,Kimber,1,Girl,1980
1170,Kimberely,1,Girl,1980
1170,Kimberlay,1,Girl,1980
1170,Kimberli,1,Girl,1980
1170,Kimberly-Ann,1,Girl,1980
1170,Kimberly-Denise,1,Girl,1980
1170,Kimiko,1,Girl,1980
1170,Kimm,1,Girl,1980
1170,Kindra,1,Girl,1980
1170,Kinley,1,Girl,1980
1170,Kiran,1,Girl,1980
1170,Kiratpreet,1,Girl,1980
1170,Kiri,1,Girl,1980
1170,Kirstie,1,Girl,1980
1170,Kitrina,1,Girl,1980
1170,Kiyomi,1,Girl,1980
1170,Kjrsten,1,Girl,1980
1170,Kody,1,Girl,1980
1170,Konstantina,1,Girl,1980
1170,Kortney,1,Girl,1980
1170,Kouloud,1,Girl,1980
1170,Krishma,1,Girl,1980
1170,Krissie,1,Girl,1980
1170,Krissy,1,Girl,1980
1170,Kristene,1,Girl,1980
1170,Kristian,1,Girl,1980
1170,Kristina-Marie,1,Girl,1980
1170,Kristinn,1,Girl,1980
1170,Kristinna,1,Girl,1980
1170,Kristy-Ann,1,Girl,1980
1170,Kristy-Lea,1,Girl,1980
1170,Kristylee,1,Girl,1980
1170,Kristy-Lee,1,Girl,1980
1170,Kristy-Lynn,1,Girl,1980
1170,Krisztina,1,Girl,1980
1170,Krystalynn,1,Girl,1980
1170,Krystie,1,Girl,1980
1170,Krystina,1,Girl,1980
1170,Krystine,1,Girl,1980
1170,Krystyn,1,Girl,1980
1170,Krystyna,1,Girl,1980
1170,Ksenia,1,Girl,1980
1170,Kumari,1,Girl,1980
1170,Kursten,1,Girl,1980
1170,Kyilee,1,Girl,1980
1170,Kylah,1,Girl,1980
1170,Kyli,1,Girl,1980
1170,Kylynn,1,Girl,1980
1170,Kymberly,1,Girl,1980
1170,Kyndra,1,Girl,1980
1170,Kyrie,1,Girl,1980
1170,Laci,1,Girl,1980
1170,Lacosta,1,Girl,1980
1170,Lada,1,Girl,1980
1170,Lael,1,Girl,1980
1170,Lai,1,Girl,1980
1170,Laila,1,Girl,1980
1170,Laina,1,Girl,1980
1170,Lakhbir,1,Girl,1980
1170,Lali,1,Girl,1980
1170,Lalita,1,Girl,1980
1170,Lalitha,1,Girl,1980
1170,Lan,1,Girl,1980
1170,Lanai,1,Girl,1980
1170,Landa,1,Girl,1980
1170,Landra,1,Girl,1980
1170,Landree,1,Girl,1980
1170,Lani,1,Girl,1980
1170,Lanis,1,Girl,1980
1170,Lanna,1,Girl,1980
1170,Lannah,1,Girl,1980
1170,Laoise,1,Girl,1980
1170,Laramie,1,Girl,1980
1170,Lareina,1,Girl,1980
1170,Lasha,1,Girl,1980
1170,Latisha,1,Girl,1980
1170,Latonia,1,Girl,1980
1170,Launi,1,Girl,1980
1170,Laurabel,1,Girl,1980
1170,Laura-Beth,1,Girl,1980
1170,Laurae,1,Girl,1980
1170,Laura-Jean,1,Girl,1980
1170,Laura-Kate,1,Girl,1980
1170,Laural,1,Girl,1980
1170,Laura-Lee,1,Girl,1980
1170,Lauralyn,1,Girl,1980
1170,Laureve,1,Girl,1980
1170,Laurianne,1,Girl,1980
1170,Laurie-Ann,1,Girl,1980
1170,Laurie-Lee,1,Girl,1980
1170,Laurissa,1,Girl,1980
1170,Lauryn,1,Girl,1980
1170,Lavana,1,Girl,1980
1170,Laverne,1,Girl,1980
1170,Lavonne,1,Girl,1980
1170,Leacia,1,Girl,1980
1170,Leagh,1,Girl,1980
1170,Lea-Jean,1,Girl,1980
1170,Leane,1,Girl,1980
1170,Leda,1,Girl,1980
1170,Ledawn,1,Girl,1980
1170,Leeann,1,Girl,1980
1170,Leeann,1,Girl,1980
1170,Leeanne,1,Girl,1980
1170,Leecole,1,Girl,1980
1170,Lee-Ellen,1,Girl,1980
1170,Leena,1,Girl,1980
1170,Leiann,1,Girl,1980
1170,Leigha,1,Girl,1980
1170,Leighann,1,Girl,1980
1170,Leighcifier,1,Girl,1980
1170,Leigh-Loni,1,Girl,1980
1170,Leilania,1,Girl,1980
1170,Leita,1,Girl,1980
1170,Leizan,1,Girl,1980
1170,Lenai,1,Girl,1980
1170,Lennaya,1,Girl,1980
1170,Lennette,1,Girl,1980
1170,Lenor,1,Girl,1980
1170,Lerena,1,Girl,1980
1170,Lerin,1,Girl,1980
1170,Lesie,1,Girl,1980
1170,Lesley-Ann,1,Girl,1980
1170,Lesley-Anne,1,Girl,1980
1170,Leslie-Ann,1,Girl,1980
1170,Lesly,1,Girl,1980
1170,Levana,1,Girl,1980
1170,Leyah,1,Girl,1980
1170,Li,1,Girl,1980
1170,Liane,1,Girl,1980
1170,Lianna,1,Girl,1980
1170,Lieghla,1,Girl,1980
1170,Liesl,1,Girl,1980
1170,Liesll,1,Girl,1980
1170,Liliane,1,Girl,1980
1170,Lilly,1,Girl,1980
1170,Linda-Lee,1,Girl,1980
1170,Lindsay-Anne,1,Girl,1980
1170,Lindsay-Leanne,1,Girl,1980
1170,Lindsay-Micheall,1,Girl,1980
1170,Lindsey-Rae,1,Girl,1980
1170,Ling,1,Girl,1980
1170,Linnsie,1,Girl,1980
1170,Lisa-Ann,1,Girl,1980
1170,Lisa-Anne,1,Girl,1980
1170,Lisamarie,1,Girl,1980
1170,Lisa-Theresa,1,Girl,1980
1170,Lois,1,Girl,1980
1170,Lois-Anne,1,Girl,1980
1170,Lona,1,Girl,1980
1170,Londii,1,Girl,1980
1170,Lorae,1,Girl,1980
